"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","COND",0.34965034965035,0.26600430932519,0.79801292797557,""
"V2","All","Chao1","COND",0.363636363636364,0.246255228012161,0.79801292797557,""
"V3","All","se.chao1","COND",0.048951048951049,0.88633510886492,1,""
"V4","All","ACE","COND",0.363636363636364,0.246255228012161,0.79801292797557,""
"V5","All","se.ACE","COND",0.307692307692308,0.330862674250893,0.85547998434712,""
"V6","All","Shannon","COND",0.321678321678322,0.308312360549134,0.853788075366833,""
"V7","All","Simpson","COND",0.013986013986014,0.973693903956088,1,""
"V8","All","InvSimpson","COND",0.013986013986014,0.973693903956088,1,""
"V9","All","Fisher","COND",0.34965034965035,0.26600430932519,0.79801292797557,""
"V10","All","Pielou","COND",0.300699300699301,0.342483375440193,0.85547998434712,""
"V11","All","Coverage","COND",-0.136602661325978,0.67205421721782,1,""
"V12","All","PD","COND",0.223776223776224,0.484911140402734,0.895220566897355,""
"V13","All","Observed","TDS",0.447552447552448,0.147205377767155,0.662424199952197,""
"V14","All","Chao1","TDS",0.468531468531469,0.127472652576309,0.655573641821018,""
"V15","All","se.chao1","TDS",0.048951048951049,0.88633510886492,1,""
"V16","All","ACE","TDS",0.468531468531469,0.127472652576309,0.655573641821018,""
"V17","All","se.ACE","TDS",0.405594405594406,0.192612183946047,0.770448735784188,""
"V18","All","Shannon","TDS",0.426573426573427,0.168899525405203,0.715339166422036,""
"V19","All","Simpson","TDS",0.13986013986014,0.667150535987429,1,""
"V20","All","InvSimpson","TDS",0.13986013986014,0.667150535987429,1,""
"V21","All","Fisher","TDS",0.447552447552448,0.147205377767155,0.662424199952197,""
"V22","All","Pielou","TDS",0.391608391608392,0.209564351836237,0.794138596432056,""
"V23","All","Coverage","TDS",-0.234676366893346,0.462836643549213,0.892242366681592,""
"V24","All","PD","TDS",0.328671328671329,0.297385077720106,0.853788075366833,""
"V25","All","Observed","ORP",-0.265734265734266,0.403976659275029,0.85547998434712,""
"V26","All","Chao1","ORP",-0.27972027972028,0.378709233642039,0.85547998434712,""
"V27","All","se.chao1","ORP",-0.468531468531469,0.127472652576309,0.655573641821018,""
"V28","All","ACE","ORP",-0.27972027972028,0.378709233642039,0.85547998434712,""
"V29","All","se.ACE","ORP",-0.216783216783217,0.499114747625363,0.898406545725653,""
"V30","All","Shannon","ORP",-0.188811188811189,0.557827775088338,0.979599995277081,""
"V31","All","Simpson","ORP",-0.00699300699300699,0.991230036057101,1,""
"V32","All","InvSimpson","ORP",-0.00699300699300699,0.991230036057101,1,""
"V33","All","Fisher","ORP",-0.265734265734266,0.403976659275029,0.85547998434712,""
"V34","All","Pielou","ORP",-0.167832167832168,0.603727651288199,1,""
"V35","All","Coverage","ORP",0.367776395877632,0.239527868995874,0.79801292797557,""
"V36","All","PD","ORP",-0.230769230769231,0.470905693526396,0.892242366681592,""
"V37","All","Observed","pH",-0.034965034965035,0.921184082791962,1,""
"V38","All","Chao1","pH",-0.020979020979021,0.956169154937949,1,""
"V39","All","se.chao1","pH",-0.104895104895105,0.749479042672183,1,""
"V40","All","ACE","pH",-0.020979020979021,0.956169154937949,1,""
"V41","All","se.ACE","pH",0.041958041958042,0.90373883620237,1,""
"V42","All","Shannon","pH",0.00699300699300699,0.991230036057101,1,""
"V43","All","Simpson","pH",0.230769230769231,0.470905693526396,0.892242366681592,""
"V44","All","InvSimpson","pH",0.230769230769231,0.470905693526396,0.892242366681592,""
"V45","All","Fisher","pH",-0.034965034965035,0.921184082791962,1,""
"V46","All","Pielou","pH",0.027972027972028,0.9386633634935,1,""
"V47","All","Coverage","pH",-0.0280210587335339,0.931114067419274,1,""
"V48","All","PD","pH",-0.0629370629370629,0.851681911253293,1,""
"V49","All","Observed","salinity",-0.00699300699300699,0.991230036057101,1,""
"V50","All","Chao1","salinity",0,1,1,""
"V51","All","se.chao1","salinity",-0.0839160839160839,0.800197517952335,1,""
"V52","All","ACE","salinity",0,1,1,""
"V53","All","se.ACE","salinity",-0.041958041958042,0.903738836202369,1,""
"V54","All","Shannon","salinity",0.034965034965035,0.921184082791962,1,""
"V55","All","Simpson","salinity",-0.272727272727273,0.391232746026155,0.85547998434712,""
"V56","All","InvSimpson","salinity",-0.272727272727273,0.391232746026155,0.85547998434712,""
"V57","All","Fisher","salinity",-0.00699300699300699,0.991230036057101,1,""
"V58","All","Pielou","salinity",0.00699300699300699,0.991230036057101,1,""
"V59","All","Coverage","salinity",0.154115823034436,0.632487778851591,1,""
"V60","All","PD","salinity",-0.0769230769230769,0.817283290706317,1,""
"V61","All","Observed","temperature",-0.654992247896354,0.0207937091260826,0.177840275481514,""
"V62","All","Chao1","temperature",-0.676008041946504,0.0158066882441519,0.177840275481514,""
"V63","All","se.chao1","temperature",-0.0140105293667669,0.965529985372758,1,""
"V64","All","ACE","temperature",-0.676008041946504,0.0158066882441519,0.177840275481514,""
"V65","All","se.ACE","temperature",-0.640981718529587,0.0247000382613214,0.177840275481514,""
"V66","All","Shannon","temperature",-0.640981718529587,0.0247000382613214,0.177840275481514,""
"V67","All","Simpson","temperature",-0.732050159413572,0.00679293000750532,0.177840275481514,""
"V68","All","InvSimpson","temperature",-0.732050159413572,0.00679293000750532,0.177840275481514,""
"V69","All","Fisher","temperature",-0.654992247896354,0.0207937091260826,0.177840275481514,""
"V70","All","Pielou","temperature",-0.661997512579737,0.0190194558338804,0.177840275481514,""
"V71","All","Coverage","temperature",0.582456140350877,0.0468938154014119,0.306941337172878,""
"V72","All","PD","temperature",-0.697023835996655,0.0117609708835981,0.177840275481514,""
