"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","COND",0.657142857142857,0.175,0.35,""
"V2","All","Chao1","COND",0.771428571428571,0.102777777777778,0.321739130434783,""
"V3","All","se.chao1","COND",0.0857142857142857,0.919444444444444,0.932394366197183,""
"V4","All","ACE","COND",0.771428571428571,0.102777777777778,0.321739130434783,""
"V5","All","se.ACE","COND",0.657142857142857,0.175,0.35,""
"V6","All","Shannon","COND",0.657142857142857,0.175,0.35,""
"V7","All","Simpson","COND",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V8","All","InvSimpson","COND",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V9","All","Fisher","COND",0.657142857142857,0.175,0.35,""
"V10","All","Pielou","COND",0.485714285714286,0.355555555555556,0.595348837209303,""
"V11","All","Coverage","COND",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V12","All","PD","COND",0.428571428571429,0.419444444444444,0.616326530612244,""
"V13","All","Observed","TDS",0.657142857142857,0.175,0.35,""
"V14","All","Chao1","TDS",0.771428571428571,0.102777777777778,0.321739130434783,""
"V15","All","se.chao1","TDS",0.0857142857142857,0.919444444444444,0.932394366197183,""
"V16","All","ACE","TDS",0.771428571428571,0.102777777777778,0.321739130434783,""
"V17","All","se.ACE","TDS",0.657142857142857,0.175,0.35,""
"V18","All","Shannon","TDS",0.657142857142857,0.175,0.35,""
"V19","All","Simpson","TDS",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V20","All","InvSimpson","TDS",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V21","All","Fisher","TDS",0.657142857142857,0.175,0.35,""
"V22","All","Pielou","TDS",0.485714285714286,0.355555555555556,0.595348837209303,""
"V23","All","Coverage","TDS",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V24","All","PD","TDS",0.428571428571429,0.419444444444444,0.616326530612244,""
"V25","All","Observed","ORP",-0.771428571428571,0.102777777777778,0.321739130434783,""
"V26","All","Chao1","ORP",-0.885714285714286,0.0333333333333333,0.321739130434783,""
"V27","All","se.chao1","ORP",-0.657142857142857,0.175,0.35,""
"V28","All","ACE","ORP",-0.885714285714286,0.0333333333333333,0.321739130434783,""
"V29","All","se.ACE","ORP",-0.771428571428571,0.102777777777778,0.321739130434783,""
"V30","All","Shannon","ORP",-0.428571428571429,0.419444444444444,0.616326530612244,""
"V31","All","Simpson","ORP",0.257142857142857,0.658333333333333,0.740625,""
"V32","All","InvSimpson","ORP",0.257142857142857,0.658333333333333,0.740625,""
"V33","All","Fisher","ORP",-0.771428571428571,0.102777777777778,0.321739130434783,""
"V34","All","Pielou","ORP",-0.142857142857143,0.802777777777778,0.862686567164179,""
"V35","All","Coverage","ORP",0.828571428571429,0.0583333333333333,0.321739130434783,""
"V36","All","PD","ORP",-0.657142857142857,0.175,0.35,""
"V37","All","Observed","pH",-0.942857142857143,0.0166666666666667,0.321739130434783,""
"V38","All","Chao1","pH",-0.828571428571429,0.0583333333333333,0.321739130434783,""
"V39","All","se.chao1","pH",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V40","All","ACE","pH",-0.828571428571429,0.0583333333333333,0.321739130434783,""
"V41","All","se.ACE","pH",-0.942857142857143,0.0166666666666667,0.321739130434783,""
"V42","All","Shannon","pH",-0.714285714285714,0.136111111111111,0.35,""
"V43","All","Simpson","pH",-0.0857142857142857,0.919444444444444,0.932394366197183,""
"V44","All","InvSimpson","pH",-0.0857142857142857,0.919444444444444,0.932394366197183,""
"V45","All","Fisher","pH",-0.942857142857143,0.0166666666666667,0.321739130434783,""
"V46","All","Pielou","pH",-0.6,0.241666666666667,0.42439024390244,""
"V47","All","Coverage","pH",0.428571428571429,0.419444444444444,0.616326530612244,""
"V48","All","PD","pH",-0.828571428571429,0.0583333333333333,0.321739130434783,""
"V49","All","Observed","salinity",0.771428571428571,0.102777777777778,0.321739130434783,""
"V50","All","Chao1","salinity",0.828571428571429,0.0583333333333333,0.321739130434783,""
"V51","All","se.chao1","salinity",0.0285714285714286,1,1,""
"V52","All","ACE","salinity",0.828571428571429,0.0583333333333333,0.321739130434783,""
"V53","All","se.ACE","salinity",0.771428571428571,0.102777777777778,0.321739130434783,""
"V54","All","Shannon","salinity",0.828571428571429,0.0583333333333333,0.321739130434783,""
"V55","All","Simpson","salinity",-0.257142857142857,0.658333333333333,0.740625,""
"V56","All","InvSimpson","salinity",-0.257142857142857,0.658333333333333,0.740625,""
"V57","All","Fisher","salinity",0.771428571428571,0.102777777777778,0.321739130434783,""
"V58","All","Pielou","salinity",0.657142857142857,0.175,0.35,""
"V59","All","Coverage","salinity",-0.314285714285714,0.563888888888889,0.688135593220339,""
"V60","All","PD","salinity",0.6,0.241666666666667,0.42439024390244,""
"V61","All","Observed","temperature",0.6,0.241666666666667,0.42439024390244,""
"V62","All","Chao1","temperature",0.428571428571429,0.419444444444444,0.616326530612244,""
"V63","All","se.chao1","temperature",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V64","All","ACE","temperature",0.428571428571429,0.419444444444444,0.616326530612244,""
"V65","All","se.ACE","temperature",0.6,0.241666666666667,0.42439024390244,""
"V66","All","Shannon","temperature",0.714285714285714,0.136111111111111,0.35,""
"V67","All","Simpson","temperature",-0.142857142857143,0.802777777777778,0.862686567164179,""
"V68","All","InvSimpson","temperature",-0.142857142857143,0.802777777777778,0.862686567164179,""
"V69","All","Fisher","temperature",0.6,0.241666666666667,0.42439024390244,""
"V70","All","Pielou","temperature",0.771428571428571,0.102777777777778,0.321739130434783,""
"V71","All","Coverage","temperature",0.257142857142857,0.658333333333333,0.740625,""
"V72","All","PD","temperature",0.371428571428571,0.497222222222222,0.617241379310345,""
